;0;Step1;Step4;Diff;Diff abs;Diff sign
20;Purpose_A410;-0,480168108;0,016010422;-0,49617853;0,49617853;1
23;Purpose_A44;0,069926945;-0,135696061;0,205623006;0,205623006;1
24;Purpose_A45;0,067384513;-0,109232159;0,176616672;0,176616672;1
5;CreditHistory_A30;0,014758702;-0,161705304;0,176464006;0,176464006;1
29;Savings_A62;-0,040991431;0,131564737;-0,172556168;0,172556168;1
14;EmploymentDuration_A75;0,14522159;-0,025401954;0,170623544;0,170623544;1
4;NumberOfCredits;-0,536685461;-0,106233446;-0,430452015;0,430452015;0
7;CreditHistory_A32;-0,538001935;-0,227627538;-0,310374397;0,310374397;0
9;CreditHistory_A34;0,713669146;0,449322898;0,264346248;0,264346248;0
21;Purpose_A42;-0,268999769;-0,007647565;-0,261352204;0,261352204;0
19;Purpose_A41;0,457034101;0,230604152;0,226429949;0,226429949;0
25;Purpose_A46;-0,345322281;-0,119785506;-0,225536775;0,225536775;0
31;Savings_A64;0,23633789;0,035204879;0,201133011;0,201133011;0
2;InstallmentRate;-0,38744781;-0,202061886;-0,185385924;0,185385924;0
22;Purpose_A43;0,422447528;0,24198975;0,180457778;0,180457778;0
1;CreditAmount;-0,272969759;-0,101842185;-0,171127574;0,171127574;0
10;EmploymentDuration_A71;-0,199075503;-0,041596282;-0,157479221;0,157479221;0
0;CreditDuration;-0,792250395;-0,676561252;-0,115689143;0,115689143;0
17;Housing_A153;-0,24730254;-0,133652109;-0,113650431;0,113650431;0
11;EmploymentDuration_A72;-0,194820331;-0,083323379;-0,111496952;0,111496952;0
6;CreditHistory_A31;-0,502668448;-0,408906071;-0,093762377;0,093762377;0
8;CreditHistory_A33;0,165965226;0,091108632;0,074856594;0,074856594;0
3;Age;0,437262764;0,507699776;-0,070437012;0,070437012;0
33;Group_0;-0,155391886;-0,099735391;-0,055656495;0,055656495;0
34;Group_1;0,155391886;0,099735391;0,055656495;0,055656495;0
35;Gender_0;0,122384748;0,073582255;0,048802493;0,048802493;0
36;Gender_1;-0,122384748;-0,073582255;-0,048802493;0,048802493;0
30;Savings_A63;0,017094714;0,061882109;-0,044787395;0,044787395;0
16;Housing_A152;0,179333166;0,13768581;0,041647356;0,041647356;0
15;Housing_A151;-0,014887744;-0,055111999;0,040224255;0,040224255;0
28;Savings_A61;-0,244839668;-0,272691665;0,027851997;0,027851997;0
32;Savings_A65;0,20660805;0,181373122;0,025234928;0,025234928;0
26;Purpose_A48;-0,028406809;-0,004913151;-0,023493658;0,023493658;0
12;EmploymentDuration_A73;-0,045050771;-0,064655021;0,01960425;0,01960425;0
27;Purpose_A49;0,079802913;0,09218672;-0,012383807;0,012383807;0
13;EmploymentDuration_A74;0,223999944;0,213555921;0,010444023;0,010444023;0
18;Purpose_A40;-0,376456382;-0,369403497;-0,007052885;0,007052885;0
