;0;1
0;CreditDuration;-0,792250395
7;CreditHistory_A32;-0,538001935
4;NumberOfCredits;-0,536685461
6;CreditHistory_A31;-0,502668448
20;Purpose_A410;-0,480168108
2;InstallmentRate;-0,38744781
18;Purpose_A40;-0,376456382
25;Purpose_A46;-0,345322281
1;CreditAmount;-0,272969759
21;Purpose_A42;-0,268999769
17;Housing_A153;-0,24730254
28;Savings_A61;-0,244839668
10;EmploymentDuration_A71;-0,199075503
11;EmploymentDuration_A72;-0,194820331
33;Group_0;-0,155391886
36;Gender_1;-0,122384748
12;EmploymentDuration_A73;-0,045050771
29;Savings_A62;-0,040991431
26;Purpose_A48;-0,028406809
15;Housing_A151;-0,014887744
5;CreditHistory_A30;0,014758702
30;Savings_A63;0,017094714
24;Purpose_A45;0,067384513
23;Purpose_A44;0,069926945
27;Purpose_A49;0,079802913
35;Gender_0;0,122384748
14;EmploymentDuration_A75;0,14522159
34;Group_1;0,155391886
8;CreditHistory_A33;0,165965226
16;Housing_A152;0,179333166
32;Savings_A65;0,20660805
13;EmploymentDuration_A74;0,223999944
31;Savings_A64;0,23633789
22;Purpose_A43;0,422447528
3;Age;0,437262764
19;Purpose_A41;0,457034101
9;CreditHistory_A34;0,713669146
